Strain ID	Synthetic chromosome	Phenotype	"SCRaMbLEing
(Y/N)"	"Integrate CRE-EBD into the HO locus
(Y/N)"	Slow Growth	Round	Tube	Colony	Total # of reads	Total # of reads after quality control	Total # of reads mapping to WT chromosomes	Total # of reads mapping to syn chromosome without bisection / trisection	Total # of reads mapping to syn chromosome with bisection / trisection	"Total # of reads, other"	Maximal read depth supporting a putative ectopic recombination	Average sequencing depth: the non-synthetic regions	Average sequencing depth: SYN chromosome	Total # of reads containing loxP site	# including sequence mapping on non-syn chromosome (should be 0)	# mapping to parent sequence	# consistent with solution: mapping to parent	# consistent with solution: not mapping to parent(# not mapping to parental sequence but consistent with the solution)	# inconsistent with solution: mapping to parent	# inconsistent with solution: not mapping to parent	Maximal read depth supporting a putative off-target recombination	Total # of recombinations	# of new junctions that are CDS-UTR	# of new junctions that are CDS-CDS	# of new junctions that are UTR-UTR	 # of new junctions that involve non-CDS or non-UTR sequence (when the loxP site wasn't in a 3' UTR)	# of segments observed at copy number 1	# of segments observed at copy number 2 or more	# of segments deleted	# of reconstructions	# of 10kb reads	# mapping to syn chromosome parent sequence	"# mapping to syn chromosome with recombination, consistent with solution (loxp)"	# mapping to syn chromosome but inconsistent with solution(loxp)	 Final # of possible unique reconstruction	solutions	# of Deletion: Events	# of Deletion: Junctions	# of Inversion: Events	# of Inversion: Junctions	# of Tandem Duplication: Events	# of Tandem Duplication: Junctions	# of Inverted Duplication: Events	# of Inverted Duplication: Junctions	# of Complex: Events	# of Complex: Junctions	PacBio
JS719	9R	"	Lys-"	Y	N	N	2	2	25	5692788	3972680	3908072	19669	266	44673	2	32.4 	19.9 	586	0	493	493	92	0	1	0	6	2	3	1	0	34	0	9	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,-18,19,20,21,22,23,24,25,26,27,28,29,30,36,37,38,39,42,43,44"	4	4	1	2	0	0	0	0	0	0	0
JS722	9R	"	Lys-"	Y	N	N	3	1	6	6733404	3169498	3124251	16861	220	28166	5	25.9 	17.0 	592	0	490	490	96	0	6	0	8	2	4	2	0	35	2	6	1	-	-	-	-	1	"1,2,3,4,5,6,36,37,-31,-30,-29,28,26,27,-25,-24,-23,-22,-20,-19,-18,-17,-16,-14,-13,-12,-11,-10,-9,-8,-7,36,37,38,39,40,41,42,43,44"	3	3	1	2	1	4	0	0	1	1	0
JS724	9R	"	Lys-"	Y	N	N	3	1	8	7085138	5162002	5097572	33242	305	30883	4	42.2 	33.4 	1055	0	885	885	165	0	5	0	8	1	3	3	1	24	9	10	1	-	-	-	-	1	"1,2,3,4,5,6,7,9,10,11,12,13,14,16,17,18,19,20,21,-24,-23,-22,25,26,27,19,20,21,-24,-23,-22,25,26,27,36,37,38,39,40,41,42,43,44"	3	3	1	2	1	3	0	0	0	0	0
JS725	9R	"	Lys-"	Y	N	N	3	1	15	6901316	5140724	5083385	25666	176	31497	4	42.1 	25.7 	785	0	733	733	49	0	3	0	2	0	1	0	1	35	0	8	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,37,38,39,41,42,43,44"	2	2	0	0	0	0	0	0	0	0	0
JS726	9R	"	Lys-"	Y	N	N	3	1	16	5153084	3672818	3626552	20724	220	25322	5	30.1 	20.9 	643	0	541	541	99	0	3	0	7	5	2	0	0	36	0	7	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,-12,11,-13,14,15,16,17,18,19,20,22,23,24,25,26,27,29,30,36,37,38,39,40,41,42,43,44"	3	3	2	4	0	0	0	0	0	0	1
JS727	9R	"	Lys-"	Y	N	N	3	1	17	6735602	4842078	4772244	25891	283	43660	3	39.5 	26.1 	788	0	673	673	108	0	7	1	6	5	1	0	0	37	0	6	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,-12,11,-13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,36,37,38,39,40,41,42,43,44"	2	2	2	4	0	0	0	0	0	0	0
JS728	9R	"	Lys-"	Y	N	N	3	1	18	8102828	5787070	5717527	23501	220	45822	3	47.4 	23.6 	717	0	635	635	78	0	4	0	3	0	1	0	2	31	0	12	1	-	-	-	-	1	"1,2,3,4,5,6,-43,-42,-41,-40,-39,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,44"	1	1	1	2	0	0	0	0	0	0	0
JS729	9R	"	Lys-"	Y	N	N	3	1	19	6601702	4832462	4754997	48233	417	28815	5	39.4 	48.5 	1413	0	1228	1228	183	0	2	0	7	4	2	1	0	10	22	11	1	-	-	-	-	1	"1,-10,14,15,16,17,18,19,20,21,22,23,24,25,36,37,38,39,40,41,42,43,44,1,-10,-9,-8,-7,2,3,4,5,6,12,13,14,15,16,17,18,19,20,21,22,23,24,25,36,37,38,39,40,41,42,43,44"	2	2	2	3	1	3	0	0	1	1	0
JS730	9R	"	Lys-"	Y	N	N	3	1	20	6313650	4768908	4719380	23823	138	25567	3	39.1 	23.9 	760	0	710	709	49	1	1	0	2	0	0	2	0	34	0	9	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,35,36,37,40,41,42,43,44"	2	2	0	0	0	0	0	0	0	0	0
JS733	9R	"	Lys-"	Y	N	Y	3	4	6	8843380	6574286	6499275	31530	225	43256	4	53.9 	31.6 	976	0	907	907	66	0	3	0	3	1	1	1	0	35	0	8	1	-	-	-	-	1	"1,2,3,4,5,6,-11,-10,-9,-8,-7,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,36,37,38,39,40,41,42,43,44"	1	1	1	2	0	0	0	0	0	0	0
JS736	9R	"	Lys-"	Y	N	N	3	4	11	8635440	6324618	6255811	30102	196	38509	4	51.8 	30.2 	1016	0	967	967	49	0	0	0	2	0	0	2	0	36	0	7	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,35,36,37,38,39,40,41,42,43,44"	2	2	0	0	0	0	0	0	0	0	0
JS737	9R	"	Lys-"	Y	N	N	3	4	15	7520414	3563370	3524379	11826	140	27025	4	29.2 	11.9 	381	0	336	336	44	0	1	0	3	0	2	0	1	26	0	17	1	-	-	-	-	1	"1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,42,43,44"	3	3	0	0	0	0	0	0	0	0	0
JS738	9R	"	Lys-"	Y	N	N	3	4	18	7376938	3305192	3239453	14981	280	50478	3	26.8 	15.2 	574	0	475	475	94	0	5	0	7	2	2	3	0	38	0	5	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,-13,-12,14,15,16,17,18,19,20,21,-31,-30,-29,-27,-26,-25,-24,-23,-22,33,34,35,-38,39,40,41,42,43,44"	4	4	3	6	0	0	0	0	0	0	0
JS739	9R	"	Lys-"	Y	N	N	3	4	19	5156350	2430256	2400226	11437	108	18485	3	19.9 	11.5 	427	0	388	388	36	0	3	0	4	3	1	0	0	37	0	6	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,-11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,29,30,31,36,37,38,39,40,41,42,43,44"	2	2	1	2	0	0	0	0	0	0	1
JS602	9R	"Met-	"	Y	N	N	2	2	12	11799268	4705108	4632063	27076	657	45312	4	38.4 	27.6 	1043	0	573	573	465	0	5	0	20	9	6	3	2	33	4	6	2	-	-	-	-	2	"1,2,-11,3,4,40,-27,-26,-25,21,24,5,8,7,-10,-9,-6,-11,16,17,18,-39,-34,-33,-32,36,37,-31,-30,-29,-28,-20,-19,-18,-17,-16,-13,-12,41,42,43,44
1,2,-11,3,4,40,-27,-26,-25,21,24,5,8,7,-10,-9,-6,-11,16,17,18,19,20,28,29,30,31,-37,-36,32,33,34,39,-18,-17,-16,-13,-12,41,42,43,44"	4	4	4	6	1	4	1	4	5	7	1
JS603	9R	"Met-	"	Y	N	N	2	2	19	7627842	3609102	3550064	35746	426	22866	3	29.4 	36.0 	1303	0	1014	1014	286	0	3	0	21	7	8	4	2	10	28	5	6592	2651354	23881	166	95	2	"1,2,3,4,5,6,-38,-37,-36,-30,-29,-28,-27,-26,-25,24,-23,-22,-21,-20,-19,-18,-17,-16,12,-11,-18,-17,-16,12,-11,-10,-9,-8,-7,40,41,-31,-30,-29,-28,2,3,4,-33,-32,-31,-30,-29,-28,37,36,-27,-26,-25,24,-23,-22,-20,-19,-18,-17,-16,-12,-11,-10,-9,-8,-7,39,40,41,42,43,44
1,2,3,4,5,6,-38,-37,-36,-30,-29,-28,-27,-26,-25,24,-23,-22,-21,-20,-19,-18,-17,-16,-12,-11,-10,-9,-8,-7,40,41,-31,-30,-29,-28,2,3,4,-33,-32,-31,-30,-29,-28,37,36,-27,-26,-25,24,-23,-22,-20,-19,-18,-17,-16,12,-11,-18,-17,-16,12,-11,-10,-9,-8,-7,39,40,41,42,43,44"	2	2	4	8	5	13	0	0	2	2	1
JS613	9R	"Met-	"	Y	N	Y	3	2	1	9167912	4556174	4481592	32608	784	41190	4	37.1 	33.3 	990	0	472	472	517	0	1	0	28	7	14	4	3	16	12	15	132	5213592	34732	370	118	2	"1,-2,-37,-36,-24,22,23,-4,3,-7,-10,-9,-8,-3,40,-33,-32,-34,-30,-29,-33,-32,-34,-30,-29,-33,-32,-34,-30,-29,-18,-17,-16,-12,-7,4,-1,-44,-43,-42,-41,-34,41,19,20,42,43,44
1,-4,7,12,16,17,18,29,30,34,32,33,29,30,34,32,33,29,30,34,32,33,-40,3,8,9,10,7,-3,4,-23,-22,24,36,37,2,-1,-44,-43,-42,-41,-34,41,19,20,42,43,44"	8	8	2	4	2	9	2	11	3	5	1
JS617	9R	"Met-	Lys-"	Y	N	N	3	2	23	6959280	3450288	3407116	27960	423	14789	2	28.2 	28.3 	842	0	538	538	300	0	4	0	23	11	7	4	1	10	18	15	15040	2908656	22146	147	84	2	"1,-7,-6,-5,-4,-5,-10,-9,-4,-3,-2,-1,-44,-43,-42,38,39,-18,-17,-16,15,31,36,37,38,-25,-24,-23,-22,-21,-20,-19,-37,-36,-31,12,16,17,36,37,38,39,20,21,22,-25,-31,25,-22,23,24,39,42,43,44
1,2,3,4,9,10,5,4,5,6,7,-1,-44,-43,-42,38,39,-18,-17,-16,15,31,36,37,38,-25,-24,-23,-22,-21,-20,-19,-37,-36,-31,12,16,17,36,37,38,39,20,21,22,-25,-31,25,-22,23,24,39,42,43,44"	6	6	1	2	2	13	5	20	1	1	1
JS709	9R	"	Lys-"	Y	N	N	2	1	34	6361636	2937764	2873439	24444	670	39211	5	23.8 	25.0 	779	0	373	371	393	2	13	0	32	10	12	6	4	18	17	8	390	5862856	51358	637	194	3	"1,3,-10,-9,-8,7,-3,4,-2,-6,-11,-6,-5,-4,19,20,24,25,26,27,28,-38,21,-22,-22,-20,-19,-15,-14,-12,11,-1,-44,-43,-42,38,-10,-9,-8,12,14,16,17,18,-40,-37,-31,-30,29,41,40,42,43,44
1,-11,12,14,15,19,20,22,22,-21,38,-28,-27,-26,-25,-24,-20,-19,4,5,6,11,6,2,-4,3,-7,8,9,10,-3,-1,-44,-43,-42,38,-10,-9,-8,12,14,16,17,18,-40,-37,-31,-30,29,41,40,42,43,44"	4	4	3	5	3	11	5	21	3	3	1
JS712	9R	"	Lys-"	Y	N	N	2	1	40	5617338	4061590	4015779	24845	241	20725	3	33.3 	25.0 	813	0	683	683	126	0	4	0	6	4	0	2	0	36	2	5	2	-	-	-	-	2	"1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,-27,-26,-25,-24,-23,-22,-21,28,26,27,29,30,31,36,37,38,39,40,41,42,43,44
1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,-27,-26,-28,21,22,23,24,25,26,27,29,30,31,36,37,38,39,40,41,42,43,44"	2	2	1	1	0	0	1	4	0	0	1
JS720	9R	"	Lys-"	Y	N	N	2	2	28	6653038	4812076	4724495	24671	305	62605	3	39.1 	24.9 	758	0	594	594	159	0	5	0	9	3	2	2	2	35	1	7	2	-	-	-	-	2	"1,2,3,4,5,6,7,-41,-40,-39,-38,9,10,13,12,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,28,29,30,36,37,-8,42,43,44
1,2,3,4,5,6,7,-41,-40,-39,-38,9,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,-12,-13,28,29,30,36,37,-8,42,43,44"	3	3	3	5	0	0	1	4	0	0	1
JS721	9R	"Met-	Lys-"	Y	N	N	2	2	29	6176284	4504392	4463594	14574	309	25915	4	37.0 	14.8 	429	0	169	167	260	0	0	0	16	4	2	4	6	15	3	25	2	-	-	-	-	2	"2,-6,36,7,12,-10,-9,7,7,16,17,19,20,22,23,-24,25,26,27,-8,-8,-6
2,-6,36,7,7,12,-10,-9,7,16,17,19,20,22,23,-24,25,26,27,-8,-8,-6"	7	7	3	5	3	10	0	0	0	0	1
JS723	9R	"	Lys-"	Y	N	N	3	1	7	6359866	4652000	4588125	38381	212	25282	3	38.0 	38.4 	1191	0	1128	1128	60	0	3	0	3	1	1	1	0	10	22	11	2	-	-	-	-	2	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,-28,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,40,41,42,43,44
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,40,41,42,43,44"	1	1	1	1	0	0	1	4	0	0	1
